Set,Price_Euro,Pieces,Minifigs
Stephanie's Gymnastics Show,,241.0,
Funny Octopus Ride,,324.0,
Andrea's Pool Party,,468.0,
Heartlake City Amusement Pier,,1251.0,
Turtles Rescue Mission,,225.0,
Dolphins Rescue Mission,,363.0,
Heartlake City Restaurant,,624.0,
Lighthouse Rescue Centre,,602.0,
Rescue Mission Boat,,908.0,
LEGO Friends Advent Calendar,,330.0,
Olivia's Hamster Playground,,81.0,
Andrea's Summer Heart Box,,83.0,
Emma's Summer Heart Box,,86.0,
Stephanie's Summer Heart Box,,95.0,1.0
Olivia's Summer Heart Box,,93.0,
Mia's Summer Heart Box,,85.0,
Emmet,,113.0,
Wyldstyle,,134.0,
Benny,,103.0,
Sweet Mayhem,,137.0,
Cherry Picker,,155.0,
Power Boat,,174.0,
Getaway Truck,,128.0,
Police Pursuit,,120.0,
Rescue Helicopter,,325.0,
Chevrolet Corvette ZR1,,579.0,
Tracked Loader,,827.0,
Remote-Controlled Stunt Racer,,324.0,
Porsche 911 RSR,,1580.0,
Compact Crawler Crane,,920.0,
Car Transporter,,2493.0,
4x4 X-Treme Off-Roader,,958.0,
Liebherr R 9800,,4108.0,
Land Rover Defender,,2573.0,
Elsa's Ice Palace,,701.0,
City Shaper Challenge Kit,,2238.0,
BOOMTOWN BUILD Inspire Set,,739.0,
BOOMTOWN BUILD Discovery Set,,78.0,4.0
Ski Resort,,806.0,
Jet Patrol,,54.0,
Sky Police Drone Chase,,192.0,
Parachute Arrest,,218.0,
Diamond Heist,,400.0,
Air Base,,529.0,
Barbecue Burn Out,,64.0,
Dock Side Fire,,97.0,
Burger Bar Fire Rescue,,327.0,
Fire Station,,509.0,
Downtown Fire Brigade,,943.0,
Fire Plane,,363.0,
Desert Rally Racer,,75.0,
Construction Loader,,88.0,
Garbage Truck,,90.0,
Diving Yacht,,148.0,
Snow Groomer,,197.0,
Harvester Transport,,358.0,
Satellite Service Mission,,84.0,1.0
Rover Testing Drive,,202.0,2.0
Mars Research Shuttle,,273.0,
Lunar Space Station,,412.0,
Deep Space Rocket and Launch Control,,837.0,
Rocket Assembly & Transport,,1055.0,
People Pack - Space Research and Development,,209.0,
Fire Chief Response Truck,,201.0,2.0
Garage Centre,,234.0,
Donut Shop Opening,,790.0,
People Pack - Fun Fair,,183.0,
LEGO City Advent Calendar,,234.0,
Straight & T-Junction,,2.0,
Curves & Crossroad,,2.0,
Police Patrol Car,,92.0,1.0
Kayak Adventure,,84.0,
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,,174.0,3.0
Wrecked Shrimp Boat,,310.0,
Graveyard Mystery,,335.0,
El Fuego's Stunt Truck,,428.0,
Shrimp Shack Attack,,579.0,
Paranormal Intercept Bus 3000,,689.0,
Ghost Train Express,,698.0,
Newbury Haunted High School,,1474.0,
Spinjitzu Kai,,97.0,1.0
Spinjitzu Jay,,97.0,1.0
Spinjitzu Zane,,109.0,1.0
Spinjitzu Cole,,117.0,1.0
Spinjitzu Nya & Wu,,227.0,2.0
Spinjitzu Lloyd vs. Garmadon,,208.0,2.0
The Samurai Mech,,154.0,
The Golden Dragon,,171.0,
Kai's Blade Cycle & Zane's Snowmobile,,376.0,4.0
Jay's Storm Fighter,,490.0,4.0
Cole's Earth Driller,,587.0,
Monastery of Spinjitzu,,1070.0,
Lloyd's Journey,,81.0,
Cole's Dirt Bike,,212.0,3.0
Shuricopter,,361.0,
Fire Fang,,463.0,
Katana 4X4,,450.0,
Lloyd's Titan Mech,,876.0,
Land Bounty,,1178.0,
Castle of the Forsaken Emperor,,1218.0,
The Ultra Dragon,,951.0,6.0
Monastery Training,,122.0,2.0
Spinjitzu Slam - Lloyd,,70.0,1.0
Spinjitzu Slam - Jay,,72.0,1.0
Spinjitzu Slam - Zane,,63.0,
Spinjitzu Slam - Kai vs. Samurai,,164.0,2.0
LEGO Movie Maker,,482.0,
Emmet and Benny's 'Build and Fix' Workshop!,,117.0,2.0
